Username,Comment sentiment,Comment subjectivity,Date,Likes,Replies,Link
              @doucheworldorder            ,0.0,0.3,23-02-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @veronicamalsi266            ,0.4215,0.7,03-12-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @BurninBushMaster            ,0.0,0.0,03-09-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @khaosgoddess-ne4zo            ,-0.5267,0.5333333333333333,03-07-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @kylesdraftvideos            ,-0.4404,0.48125,03-02-2023,0,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @kacythomas1327            ,0.0,0.0,03-08-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @keithawhosoever5384            ,-0.128,0.5,03-06-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @masterp401            ,-0.6476,0.0,03-06-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @cosmic4037            ,0.0,0.0,03-08-2023,0,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @hana.s.5203            ,0.2609,0.5,15-03-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @antonthewall9495            ,0.0,0.0,03-12-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @nosretep1960            ,0.0,0.0,23-02-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @alexlightworker9207            ,-0.802,1.0,03-07-2023,0,29,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @user-mi8gg3nv6r            ,0.0,0.0,03-08-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
